simID	f0	f1	f2	f3	Na	Nc	Na_scaled	Nc_scaled	scaling_factor	model	Nfold	g_factor
sim56	75	5	15	5	5001	10546	5000	10544	1.0002	growth	2.11	1.0037305953266302
sim57	20	40	40	0	14036	6963	10079	5000	1.3926	decline	-2.02	0.9964949193053068
sim58	10	10	10	70	28921	14662	9863	5000	2.9324	decline	-1.97	0.9966032376523112
sim59	5	30	60	5	21230	35670	5000	8401	4.246	growth	1.68	1.0025945641697431
sim60	85	0	10	5	6707	12806	5000	9547	1.3414	growth	1.91	1.0032339452829089
sim61	55	0	35	10	5059	7660	5000	7571	1.0118	growth	1.51	1.0020744362334353
sim62	65	0	5	30	30053	36334	5000	6045	6.0106	growth	1.21	1.0009489678581633
sim63	45	15	35	5	17899	7457	12001	5000	1.4914	decline	-2.4	0.9956222396639239
sim64	10	15	0	75	38814	8797	22061	5000	1.7594	decline	-4.41	0.9925781328436024
sim65	50	15	20	15	7750	6089	6364	5000	1.2178	decline	-1.27	0.9987939040097928
sim66	25	45	10	20	33419	11337	14739	5000	2.2674	decline	-2.95	0.9945947043528974
sim67	15	70	0	15	29978	48439	5000	8079	5.9956	growth	1.62	1.0023991509503174
sim68	15	35	15	35	10554	40704	5000	19284	2.1108	growth	3.86	1.0067491891205465
sim69	45	15	20	20	5035	5171	5000	5135	1.007	growth	1.03	1.0001332096547322
sim70	20	0	50	30	23562	14774	7974	5000	2.9548	decline	-1.59	0.9976662583173747
sim71	45	30	15	10	10050	22766	5000	11326	2.01	growth	2.27	1.0040883152762876
sim72	10	20	70	0	15885	17498	5000	5508	3.177	growth	1.1	1.0004838183421616
sim73	55	5	5	35	45568	25976	8771	5000	5.1952	decline	-1.75	0.9971899354373243
sim74	15	45	20	20	11009	38248	5000	17371	2.2018	growth	3.47	1.0062268211834284
sim75	10	5	65	20	17230	5850	14726	5000	1.17	decline	-2.95	0.9945991163674379
sim76	30	50	20	0	10076	8519	5914	5000	1.7038	decline	-1.18	0.9991605774550191
sim77	20	30	0	50	31376	14053	11163	5000	2.8106	decline	-2.23	0.9959841658720076
sim78	20	35	15	30	6095	12313	5000	10101	1.219	growth	2.02	1.0035159825820648
sim79	5	0	30	65	14887	9695	7678	5000	1.939	decline	-1.54	0.9978553940792775
sim80	30	15	40	15	19769	43136	5000	10910	3.9538	growth	2.18	1.0039012094370543
sim81	5	0	35	60	10488	34646	5000	16517	2.0976	growth	3.3	1.0059747612055243
sim82	20	5	0	75	32055	5876	27276	5000	1.1752	decline	-5.46	0.9915171535888785
sim83	0	30	40	30	7773	20711	5000	13322	1.5546	growth	2.66	1.0048998944577845
sim84	30	60	0	10	8498	25777	5000	15167	1.6996	growth	3.03	1.0055484205131757
sim85	5	95	0	0	23242	9401	12361	5000	1.8802	decline	-2.47	0.9954744577876421
sim86	15	15	65	5	6137	43223	5000	35215	1.2274	growth	7.04	1.0097601710788164
sim87	15	55	30	0	5523	46515	5000	42110	1.1046	growth	8.42	1.0106542366486986
sim88	40	5	20	35	35310	9995	17664	5000	1.999	decline	-3.53	0.993689546211697
sim89	35	15	15	35	5721	22869	5000	19987	1.1442	growth	4.0	1.0069282207488914
sim90	45	0	40	15	36341	16619	10934	5000	3.3238	decline	-2.19	0.9960878035598064
sim91	10	70	0	20	8725	5721	7625	5000	1.1442	decline	-1.52	0.9978900279497032
sim92	20	20	10	50	12230	43368	5000	17730	2.446	growth	3.55	1.00632910103826
sim93	85	15	0	0	8543	26667	5000	15608	1.7086	growth	3.12	1.0056917284544336
sim94	40	5	15	40	16204	5674	14279	5000	1.1348	decline	-2.86	0.9947532399299297
sim95	0	25	60	15	5767	21358	5000	18517	1.1534	growth	3.7	1.0065462565831078
sim96	5	10	75	10	9868	14017	5000	7102	1.9736	growth	1.42	1.001754692610434
sim97	50	5	15	30	45840	44861	5109	5000	8.9722	decline	-1.02	0.9998921711104272
sim98	0	5	5	90	10134	6618	7656	5000	1.3236	decline	-1.53	0.9978697412914173
sim99	30	55	10	5	5345	41085	5000	38433	1.069	growth	7.69	1.0101973927655414
sim100	5	5	30	60	16525	6379	12953	5000	1.2758	decline	-2.59	0.9952405524544299
sim101	0	70	15	15	10729	42674	5000	19887	2.1458	growth	3.98	1.0069031416974663
sim102	0	55	40	5	46935	35080	6690	5000	7.016	decline	-1.34	0.9985441201914698
sim103	10	35	5	50	27602	23378	5903	5000	4.6756	decline	-1.18	0.9991698860808778
sim104	15	20	10	55	6088	6689	5000	5494	1.2176	growth	1.1	1.0004710933761949
sim105	5	60	35	0	22190	7861	14114	5000	1.5722	decline	-2.82	0.9948113534992773
sim106	20	15	15	50	11010	18134	5000	8235	2.202	growth	1.65	1.0024947772559776
sim107	75	0	5	20	9909	8565	5785	5000	1.713	decline	-1.16	0.9992708477589423
sim108	20	25	5	50	11327	14808	5000	6537	2.2654	growth	1.31	1.0013402021609825
sim109	10	15	50	25	24179	5212	23196	5000	1.0424	decline	-4.64	0.9923272903120995
sim110	5	25	25	45	19945	21532	5000	5398	3.989	growth	1.08	1.0003829530108086
sim111	75	10	10	5	22684	6566	17274	5000	1.3132	decline	-3.45	0.9938011771578801
sim112	40	15	0	45	19973	10111	9877	5000	2.0222	decline	-1.98	0.9965961454525406
sim113	65	5	0	30	33682	11194	15045	5000	2.2388	decline	-3.01	0.9944919610117604
sim114	40	55	0	5	7987	7353	5431	5000	1.4706	decline	-1.09	0.9995865731669069
sim115	60	20	15	5	10770	10450	5153	5000	2.09	decline	-1.03	0.9998492942154401
sim116	5	25	60	10	25066	18923	6623	5000	3.7846	decline	-1.32	0.9985944473646563
sim117	55	10	35	0	36396	13070	13923	5000	2.614	decline	-2.78	0.9948794788175348
sim118	15	20	60	5	30013	28590	5249	5000	5.718	decline	-1.05	0.9997570016508197
sim119	60	5	0	35	8670	5737	7556	5000	1.1474	decline	-1.51	0.9979354798139742
sim120	75	10	15	0	5494	26934	5000	24512	1.0988	growth	4.9	1.0079486244056204
sim121	10	45	35	10	18338	17128	5353	5000	3.4256	decline	-1.07	0.9996589038051142
sim122	25	15	0	60	6509	5888	5527	5000	1.1776	decline	-1.11	0.9994989636979149
sim123	10	20	15	55	8122	7901	5140	5000	1.5802	decline	-1.03	0.9998619241648351
sim124	20	65	5	10	10853	39432	5000	18166	2.1706	growth	3.63	1.0064505690132297
sim125	25	45	15	15	18087	13579	6660	5000	2.7158	decline	-1.33	0.998566592139409
sim126	0	35	40	25	11605	33163	5000	14288	2.321	growth	2.86	1.0052499105585002
sim127	90	10	0	0	6959	30170	5000	21677	1.3918	growth	4.34	1.0073340693908934
sim128	30	65	0	5	18861	14296	6597	5000	2.8592	decline	-1.32	0.9986141145609668
sim129	50	10	10	30	12213	26283	5000	10760	2.4426	growth	2.15	1.0038319882114977
sim130	25	10	65	0	5543	46500	5000	41945	1.1086	growth	8.39	1.0106346066193208
sim131	25	50	25	0	13518	11267	5999	5000	2.2534	decline	-1.2	0.9990892256188157
sim132	5	80	5	10	20341	7671	13258	5000	1.5342	decline	-2.65	0.9951241838430746
sim133	15	55	25	5	6284	5281	5950	5000	1.0562	decline	-1.19	0.9991302334643828
sim134	25	45	5	25	10413	23730	5000	11394	2.0826	growth	2.28	1.0041182449431205
sim135	10	30	50	10	16784	27523	5000	8199	3.3568	growth	1.64	1.0024728714158997
sim136	0	55	15	30	12313	10912	5642	5000	2.1824	decline	-1.13	0.9993959964992715
sim137	5	10	40	45	19312	26018	5000	6736	3.8624	growth	1.35	1.0014901418225297
sim138	60	0	20	20	18391	11329	8117	5000	2.2658	decline	-1.62	0.9975773864232753
sim139	50	20	10	20	17577	15550	5652	5000	3.11	decline	-1.13	0.9993871422380591
sim140	25	5	20	50	27989	32182	5000	5749	5.5978	growth	1.15	1.0006979400710352
sim141	45	25	25	5	6099	12121	5000	9937	1.2198	growth	1.99	1.0034341362590757
sim142	0	20	40	40	15068	7315	10299	5000	1.463	decline	-2.06	0.9963869555464522
sim143	20	5	30	45	24410	17019	7171	5000	3.4038	decline	-1.43	0.9981969639876683
sim144	25	15	10	50	23022	8429	13656	5000	1.6858	decline	-2.73	0.9949762946347098
sim145	5	10	80	5	49446	11505	21489	5000	2.301	decline	-4.3	0.9927094836806684
sim146	20	50	5	25	6704	40811	5000	30438	1.3408	growth	6.09	1.0090312695768926
sim147	5	60	5	30	49264	17961	13714	5000	3.5922	decline	-2.74	0.9949551035178597
sim148	50	0	45	5	16233	5233	15510	5000	1.0466	decline	-3.1	0.9943397646762283
sim149	40	0	45	15	13873	8444	8215	5000	1.6888	decline	-1.64	0.9975173808047243
sim150	0	40	40	20	15811	27365	5000	8654	3.1622	growth	1.73	1.002742918646843
sim151	15	40	0	45	17160	17544	5000	5112	3.432	growth	1.02	1.0001107640232056
sim152	45	35	10	10	26242	39623	5000	7550	5.2484	growth	1.51	1.0020605482541343
sim153	0	45	55	0	25516	47107	5000	9231	5.1032	growth	1.85	1.0030656473628696
sim154	5	40	10	45	5203	7221	5000	6939	1.0406	growth	1.39	1.0016385987974166
sim155	20	15	40	25	5405	31179	5000	28843	1.081	growth	5.77	1.0087621470838206
sim156	20	15	5	60	10107	42098	5000	20826	2.0214	growth	4.17	1.007133821468368
sim157	20	0	5	75	23284	25312	5000	5435	4.6568	growth	1.09	1.0004171080406954
sim158	45	5	25	25	15361	46110	5000	15009	3.0722	growth	3.0	1.0054960605437004
sim159	50	25	25	0	17503	24839	5000	7096	3.5006	growth	1.42	1.0017504666628658
sim160	35	0	55	10	30106	7048	21358	5000	1.4096	decline	-4.27	0.9927400576784238
sim161	5	40	30	25	14678	5040	14562	5000	1.008	decline	-2.91	0.9946551125823079
sim162	35	50	0	15	44142	39877	5535	5000	7.9754	decline	-1.11	0.9994917317313675
sim163	25	10	5	60	48098	19906	12081	5000	3.9812	decline	-2.42	0.9955890197094833
sim164	35	5	20	40	6497	41113	5000	31640	1.2994	growth	6.33	1.0092249211523268
sim165	25	50	5	20	46961	6290	37330	5000	1.258	decline	-7.47	0.9899482030975381
sim166	5	45	35	15	21368	40398	5000	9453	4.2736	growth	1.89	1.0031844711950457
sim167	10	5	75	10	20273	17350	5842	5000	3.47	decline	-1.17	0.9992218235423428
sim168	35	30	25	10	18716	17095	5474	5000	3.419	decline	-1.09	0.9995471415090781
sim169	50	5	30	15	34939	6832	25570	5000	1.3664	decline	-5.11	0.991840090615655
sim170	0	55	30	15	22237	7819	14220	5000	1.5638	decline	-2.84	0.994773942440295
sim171	10	25	0	65	5640	10446	5000	9261	1.128	growth	1.85	1.00308187060877
sim172	20	35	45	0	9634	9026	5337	5000	1.8052	decline	-1.07	0.9996738710754115
sim173	15	25	45	15	6341	31364	5000	24731	1.2682	growth	4.95	1.0079930980249912
sim174	10	40	35	15	18735	5150	18189	5000	1.03	decline	-3.64	0.993543104483382
sim175	5	5	45	45	17656	25457	5000	7209	3.5312	growth	1.44	1.0018294616649417
sim176	25	20	20	35	12420	29516	5000	11882	2.484	growth	2.38	1.0043279336874973
sim177	35	25	30	10	5665	6744	5000	5952	1.133	growth	1.19	1.0008714469254834
sim178	10	5	80	5	14230	8906	7989	5000	1.7812	decline	-1.6	0.9976568615846709
sim179	30	60	10	0	5280	5897	5000	5584	1.056	growth	1.12	1.00055233726513
sim180	10	25	50	15	10720	10632	5041	5000	2.1264	decline	-1.01	0.999959167186668
sim181	25	10	30	35	7132	27569	5000	19328	1.4264	growth	3.87	1.0067605845465915
sim182	35	5	55	5	14602	11039	6614	5000	2.2078	decline	-1.32	0.9986012464893725
sim183	15	30	55	0	8160	7497	5442	5000	1.4994	decline	-1.09	0.9995764563603652
sim184	10	20	40	30	12423	10145	6123	5000	2.029	decline	-1.22	0.9989869286996914
sim185	5	25	65	5	7751	43684	5000	28180	1.5502	growth	5.64	1.0086458729701822
sim186	70	15	0	15	41824	7795	26827	5000	1.559	decline	-5.37	0.9916001453469033
sim187	40	5	45	10	7521	5667	6636	5000	1.1334	decline	-1.33	0.9985846427005295
sim188	70	0	30	0	20576	7984	12886	5000	1.5968	decline	-2.58	0.9952664823085883
sim189	30	10	30	30	22960	5437	21115	5000	1.0874	decline	-4.22	0.992797271120241
sim190	20	10	60	10	5736	14372	5000	12528	1.1472	growth	2.51	1.0045926411340718
sim191	10	20	5	65	23147	25336	5000	5473	4.6294	growth	1.09	1.0004519449986384
sim192	50	20	30	0	5483	17072	5000	15568	1.0966	growth	3.11	1.0056788980650477
sim193	15	75	0	10	12268	44579	5000	18169	2.4536	growth	3.63	1.006451394663431
sim194	20	15	55	10	33120	9993	16572	5000	1.9986	decline	-3.31	0.9940086169410948
sim195	70	5	20	5	16181	18003	5000	5563	3.2362	growth	1.11	1.0005334980932952
sim196	50	5	0	45	26241	9751	13456	5000	1.9502	decline	-2.69	0.9950500640460176
sim197	15	45	25	15	8815	36470	5000	20686	1.763	growth	4.14	1.0071000961526075
sim198	0	75	0	25	18815	8574	10972	5000	1.7148	decline	-2.19	0.9960704566967937
sim199	5	45	40	10	22997	46266	5000	10059	4.5994	growth	2.01	1.0034951492185904
sim200	5	35	20	40	13645	7911	8624	5000	1.5822	decline	-1.72	0.9972744444913373
sim201	0	25	40	35	11687	5589	10455	5000	1.1178	decline	-2.09	0.9963117878977675
sim202	10	15	20	55	10754	28164	5000	13095	2.1508	growth	2.62	1.0048139628276278
sim203	35	10	55	0	8051	14385	5000	8934	1.6102	growth	1.79	1.002902131552479
sim204	20	20	50	10	24306	14669	8285	5000	2.9338	decline	-1.66	0.9974749563077778
sim205	5	70	15	10	6247	22783	5000	18235	1.2494	growth	3.65	1.0064695245591326
sim206	5	90	0	5	7614	42745	5000	28070	1.5228	growth	5.61	1.0086263173896985
sim207	5	45	0	50	19663	13209	7443	5000	2.6418	decline	-1.49	0.9980108195952816
sim208	15	20	30	35	5416	33499	5000	30926	1.0832	growth	6.19	1.0091107967080957
sim209	0	45	10	45	6852	16188	5000	11813	1.3704	growth	2.36	1.0042988135376614
sim210	5	35	55	5	41563	13868	14985	5000	2.7736	decline	-3.0	0.9945119410583274
sim211	65	20	5	10	31074	19928	7797	5000	3.9856	decline	-1.56	0.9977784943405332
sim212	40	30	30	0	34095	23624	7216	5000	4.7248	decline	-1.44	0.9981656856483689
sim213	25	20	30	25	25295	25889	5000	5117	5.059	growth	1.02	1.0001156520869443
sim214	60	0	30	10	12468	17783	5000	7131	2.4936	growth	1.43	1.0017750678230604
sim215	0	50	30	20	17754	37807	5000	10647	3.5508	growth	2.13	1.003779201249492
sim216	65	20	10	5	5683	12702	5000	11175	1.1366	growth	2.23	1.0040212061403277
sim217	5	45	30	20	5375	8578	5000	7980	1.075	growth	1.6	1.002337502495138
sim218	45	0	15	40	41087	11602	17707	5000	2.3204	decline	-3.54	0.9936773893540501
sim219	25	5	0	70	6629	9108	5000	6870	1.3258	growth	1.37	1.0015886309690007
sim220	15	35	10	40	29647	20919	7086	5000	4.1838	decline	-1.42	0.9982565845299541
sim221	35	20	15	30	6892	14278	5000	10358	1.3784	growth	2.07	1.003641606277838
sim222	65	0	15	20	24327	9118	13340	5000	1.8236	decline	-2.67	0.9950933543597331
sim223	75	15	10	0	9262	44276	5000	23902	1.8524	growth	4.78	1.007822621125053
sim224	5	25	45	25	13366	7902	8457	5000	1.5804	decline	-1.69	0.99737221705817
sim225	15	5	15	65	38630	23108	8359	5000	4.6216	decline	-1.67	0.9974304955485854
sim226	55	0	15	30	10530	20495	5000	9732	2.106	growth	1.95	1.0033299075624358
sim227	35	0	5	60	5234	6715	5000	6415	1.0468	growth	1.28	1.0012460054281676
sim228	25	15	5	55	34178	5516	30981	5000	1.1032	decline	-6.2	0.9908803189953836
sim229	5	25	10	60	32325	10620	15219	5000	2.124	decline	-3.04	0.9944344663259072
sim230	65	10	15	10	28439	8784	16188	5000	1.7568	decline	-3.24	0.9941258384271024
sim231	25	25	45	5	28470	13434	10596	5000	2.6868	decline	-2.12	0.9962448067051214
sim232	20	25	40	15	41576	12364	16813	5000	2.4728	decline	-3.36	0.9939364275786865
sim233	5	0	5	90	35568	20714	8585	5000	4.1428	decline	-1.72	0.9972971070904233
sim234	30	55	15	0	5975	18190	5000	15222	1.195	growth	3.04	1.0055665191870555
sim235	0	15	5	80	13766	32321	5000	11739	2.7532	growth	2.35	1.0042673935973114
sim236	0	30	5	65	12033	5822	10334	5000	1.1644	decline	-2.07	0.9963699924128455
sim237	35	0	10	55	5109	38046	5000	37234	1.0218	growth	7.45	1.010038922049578
sim238	5	25	35	35	29217	29171	5008	5000	5.8342	decline	-1.0	0.9999920063931815
sim239	25	60	5	10	9626	24937	5000	12953	1.9252	growth	2.59	1.0047594475455701
sim240	15	0	15	70	5836	19312	5000	16546	1.1672	growth	3.31	1.0059835323416695
sim241	45	10	30	15	18115	7857	11528	5000	1.5714	decline	-2.31	0.9958232952686844
sim242	65	0	30	5	7620	9279	5000	6089	1.524	growth	1.22	1.0009852297609616
sim243	5	15	60	20	10395	32397	5000	15583	2.079	growth	3.12	1.0056837133201468
sim244	50	40	5	5	7240	9754	5000	6736	1.448	growth	1.35	1.0014901418225297
sim245	5	5	15	75	9089	17636	5000	9702	1.8178	growth	1.94	1.0033144706869446
sim246	30	35	15	20	11832	7881	7507	5000	1.5762	decline	-1.5	0.9979680099692162
sim247	0	10	80	10	33279	36006	5000	5410	6.6558	growth	1.08	1.0003940559021214
sim248	25	65	10	0	10595	18271	5000	8622	2.119	growth	1.72	1.0027243958194543
sim249	45	50	0	5	10738	6984	7688	5000	1.3968	decline	-1.54	0.9978488862038305
sim250	30	15	50	5	12267	42265	5000	17227	2.4534	growth	3.45	1.0061852000401506
sim251	40	5	55	0	32183	22119	7275	5000	4.4238	decline	-1.46	0.9981249704968828
sim252	5	20	20	55	30197	13182	11454	5000	2.6364	decline	-2.29	0.9958554944923121
sim253	10	10	40	40	5683	5402	5260	5000	1.0804	decline	-1.05	0.9997465344284224
sim254	25	40	0	35	31780	8302	19140	5000	1.6604	decline	-3.83	0.9932882876320465
sim255	15	80	0	5	12731	33754	5000	13257	2.5462	growth	2.65	1.004875439011913
sim256	55	35	10	0	26483	41482	5000	7832	5.2966	growth	1.57	1.0022438999639705
sim257	30	30	5	35	15223	13320	5714	5000	2.664	decline	-1.14	0.9993325930431276
sim258	0	65	20	15	6403	36146	5000	28226	1.2806	growth	5.65	1.0086540281327885
sim259	5	45	15	35	35080	9751	17988	5000	1.9502	decline	-3.6	0.9935986652176282
sim260	25	65	0	10	9904	23607	5000	11918	1.9808	growth	2.38	1.0043430597494534
sim261	35	10	0	55	37684	9887	19057	5000	1.9774	decline	-3.81	0.9933100171214393
sim262	25	10	15	50	22892	41988	5000	9171	4.5784	growth	1.83	1.0030330420957134
sim263	30	0	30	40	15099	42511	5000	14077	3.0198	growth	2.82	1.0051755217370586
sim264	10	75	15	0	8593	10633	5000	6187	1.7186	growth	1.24	1.0010650620205737
sim265	5	15	25	55	14160	49843	5000	17600	2.832	growth	3.52	1.00629230494805
sim266	40	20	15	25	43179	37194	5805	5000	7.4388	decline	-1.16	0.9992535914864212
sim267	0	30	50	20	21508	5199	20685	5000	1.0398	decline	-4.14	0.9929001455626036
sim268	30	60	5	5	5323	30589	5000	28733	1.0646	growth	5.75	1.0087430418778605
sim269	0	30	30	40	12946	7974	8118	5000	1.5948	decline	-1.62	0.997576770470087
sim270	0	70	30	0	43271	35284	6132	5000	7.0568	decline	-1.23	0.9989795847571227
sim271	15	40	25	20	11033	7470	7385	5000	1.494	decline	-1.48	0.9980499349822538
sim272	70	5	15	10	12073	33118	5000	13716	2.4146	growth	2.74	1.0050456256108329
sim273	25	50	10	15	19093	15244	6262	5000	3.0488	decline	-1.25	0.9988746914476494
sim274	0	55	5	40	21785	21827	5000	5010	4.357	growth	1.0	1.0000099900133133
sim275	0	0	15	85	35048	29759	5889	5000	5.9518	decline	-1.18	0.9991817585423584
sim276	5	10	10	75	7779	28421	5000	18268	1.5558	growth	3.65	1.0064785649144432
sim277	5	55	5	35	13554	43950	5000	16213	2.7108	growth	3.24	1.0058818773856693
sim278	5	45	10	40	5733	24532	5000	21395	1.1466	growth	4.28	1.0072685966871735
sim279	20	20	55	5	12342	10348	5963	5000	2.0696	decline	-1.19	0.9991193210114656
sim280	50	10	15	25	35608	7120	25006	5000	1.424	decline	-5.0	0.9919516105818065
sim281	20	45	25	10	16362	34207	5000	10453	3.2724	growth	2.09	1.0036872555305822
sim282	45	10	25	20	13521	24595	5000	9095	2.7042	growth	1.82	1.00299143449768
sim283	55	25	0	20	22682	10402	10903	5000	2.0804	decline	-2.18	0.9961019996585493
sim284	35	0	45	20	6717	19823	5000	14756	1.3434	growth	2.95	1.0054110593365015
sim285	0	10	60	30	12257	45025	5000	18367	2.4514	growth	3.67	1.0065055883185614
sim286	15	20	5	60	15285	48563	5000	15886	3.057	growth	3.18	1.0057800015288842
sim287	0	25	50	25	5529	8162	5000	7381	1.1058	growth	1.48	1.001947356091769
sim288	35	25	10	30	19021	15242	6240	5000	3.0484	decline	-1.25	0.9988922886502638
sim289	20	40	0	40	28920	43798	5000	7572	5.784	growth	1.51	1.0020750966045648
sim290	5	35	50	10	7015	28553	5000	20351	1.403	growth	4.07	1.0070184606914816
sim291	20	20	40	20	13540	8864	7638	5000	1.7728	decline	-1.53	0.9978815106181539
sim292	80	0	10	10	8444	26207	5000	15518	1.6888	growth	3.1	1.0056628136401884
sim293	15	25	55	5	5101	11279	5000	11056	1.0202	growth	2.21	1.0039676767729562
sim294	45	25	5	25	22259	6496	17133	5000	1.2992	decline	-3.43	0.9938421574204164
sim295	95	5	0	0	13619	28227	5000	10363	2.7238	growth	2.07	1.0036440192888398
sim296	30	25	15	30	17919	24444	5000	6821	3.5838	growth	1.36	1.0015528408811925
sim297	10	70	5	15	45203	17500	12915	5000	3.5	decline	-2.58	0.9952552424294315
sim298	35	35	5	25	5984	6349	5000	5305	1.1968	growth	1.06	1.0002960592981591
sim299	30	15	15	40	12061	14157	5000	5869	2.4122	growth	1.17	1.0008012317457105
sim300	0	45	50	5	31272	7019	22277	5000	1.4038	decline	-4.46	0.9925294157817568
sim301	40	10	35	15	27529	13802	9973	5000	2.7604	decline	-1.99	0.9965477823550718
sim302	35	45	5	15	23590	9323	12652	5000	1.8646	decline	-2.53	0.9953581130349535
sim303	25	20	10	45	16700	34868	5000	10440	3.34	growth	2.09	1.003681033350102
sim304	40	10	40	10	40746	8699	23420	5000	1.7398	decline	-4.68	0.9922792377713227
sim305	30	40	20	10	33974	17414	9755	5000	3.4828	decline	-1.95	0.9966582896917952
sim306	60	10	5	25	22182	15915	6969	5000	3.183	decline	-1.39	0.9983398308498886
sim307	35	0	30	35	30530	23844	6402	5000	4.7688	decline	-1.28	0.9987641373544321
